dt,steer_deg,speed_pwm,yaw_deg
0.03339648246765137,0.0,0.0,-98.63422598609857
0.033390045166015625,0.0,0.0,-98.63422598609857
0.033399105072021484,0.0,0.0,-98.63422598609857
0.03752541542053223,0.0,0.0,-98.63422598609857
0.03339791297912598,0.0,0.0,-98.63422598609857
0.03338956832885742,0.0,0.0,-98.63422598609857
0.03339505195617676,0.0,0.0,-98.63422598609857
0.03340411186218262,0.0,0.0,-98.63422598609857
0.03339052200317383,0.0,0.0,-98.63422598609857
0.033406734466552734,0.0,0.0,-98.63422598609857
0.0334017276763916,0.0,0.0,-98.63422598609857
0.033394575119018555,0.0,0.0,-98.63422598609857
0.03339743614196777,0.0,0.0,-98.63422598609857
0.03340029716491699,0.0,0.0,-98.63422598609857
0.033396005630493164,0.0,0.0,-98.63422598609857
0.03339958190917969,0.0,0.0,-98.63422598609857
0.033396244049072266,0.0,0.0,-98.63422598609857
0.03339552879333496,0.0,0.0,-98.63422598609857
0.033399105072021484,0.0,0.0,-98.63422598609857
0.033396244049072266,0.0,0.0,-98.63422598609857
0.03339123725891113,0.0,0.0,-98.63422598609857
0.03339743614196777,0.0,0.0,-98.63422598609857
0.03340959548950195,0.0,0.0,-98.63422598609857
0.03339838981628418,0.0,0.0,-98.63422598609857
0.03339695930480957,0.0,0.0,-98.63422598609857
0.033396005630493164,0.0,0.0,-98.63422598609857
0.03817486763000488,0.0,0.0,-98.63422598609857
0.03340005874633789,0.0,0.0,-98.63422598609857
0.033394575119018555,0.0,0.0,-98.63422598609857
0.033391714096069336,0.0,0.0,-98.63422598609857
0.03339648246765137,0.0,0.0,-98.63422598609857
0.03339743614196777,0.0,0.0,-98.63422598609857
0.03339648246765137,0.0,0.0,-98.63422598609857
0.033396244049072266,0.0,0.0,-98.63422598609857
0.03339529037475586,0.0,0.0,-98.63422598609857
0.03339838981628418,0.0,0.0,-98.63422598609857
0.03339648246765137,0.0,50.0,-98.63422598609857
0.033396244049072266,0.0,50.0,-98.63422598609857
0.03339052200317383,0.0,50.0,-98.63422598609857
0.03871297836303711,0.0,50.0,-98.63422598609857
0.03338980674743652,0.0,50.0,-98.63422598609857
